id,clave_municipio,nombre_municipio,entidad_federativa
1610,022,Atzitzihuacán,21
1611,023,Atzitzintla,21
1612,024,Axutla,21
1613,025,Ayotoxco de Guerrero,21
1614,026,Calpan,21
1615,027,Caltepec,21
1616,028,Camocuautla,21
1617,029,Caxhuacan,21
1618,030,Coatepec,21
1619,031,Coatzingo,21
1620,032,Cohetzala,21
1621,033,Cohuecan,21
1622,034,Coronango,21
1623,035,Coxcatlán,21
1624,036,Coyomeapan,21
1625,037,Coyotepec,21
1626,038,Cuapiaxtla de Madero,21
1627,039,Cuautempan,21
1628,040,Cuautinchán,21
1629,041,Cuautlancingo,21
1630,042,Cuayuca de Andrade,21
1631,043,Cuetzalan del Progreso,21
1632,044,Cuyoaco,21
1633,045,Chalchicomula de Sesma,21
1634,046,Chapulco,21
1635,047,Chiautla,21
1636,048,Chiautzingo,21
1637,049,Chiconcuautla,21
1638,050,Chichiquila,21
1639,051,Chietla,21
1640,052,Chigmecatitlán,21
1641,053,Chignahuapan,21
1642,054,Chignautla,21
1643,055,Chila,21
1644,056,Chila de la Sal,21
1645,057,Honey,21
1646,058,Chilchotla,21
1647,059,Chinantla,21
1648,060,Domingo Arenas,21
1649,061,Eloxochitlán,21
1650,062,Epatlán,21
1651,063,Esperanza,21
1652,064,Francisco Z. Mena,21
1653,065,General Felipe Ángeles,21
1654,066,Guadalupe,21
1655,067,Guadalupe Victoria,21
1656,068,Hermenegildo Galeana,21
1657,069,Huaquechula,21
1658,070,Huatlatlauca,21
1659,071,Huauchinango,21
1660,072,Huehuetla,21
1661,073,Huehuetlán el Chico,21
1662,074,Huejotzingo,21
1663,075,Hueyapan,21
1664,076,Hueytamalco,21
1665,077,Hueytlalpan,21
1666,078,Huitzilan de Serdán,21
1667,079,Huitziltepec,21
1668,080,Atlequizayan,21
1669,081,Ixcamilpa de Guerrero,21
1670,082,Ixcaquixtla,21
1671,083,Ixtacamaxtitlán,21
1672,084,Ixtepec,21
1673,085,Izúcar de Matamoros,21
1674,086,Jalpan,21
1675,087,Jolalpan,21
1676,088,Jonotla,21
1677,089,Jopala,21
1678,090,Juan C. Bonilla,21
1679,091,Juan Galindo,21
1680,092,Juan N. Méndez,21
1681,093,Lafragua,21
1682,094,Libres,21
1683,095,La Magdalena Tlatlauquitepec,21
1684,096,Mazapiltepec de Juárez,21
1685,097,Mixtla,21
1686,098,Molcaxac,21
1687,099,Cañada Morelos,21
1688,100,Naupan,21
1689,101,Nauzontla,21
1690,102,Nealtican,21
1691,103,Nicolás Bravo,21
1692,104,Nopalucan,21
1693,105,Ocotepec,21
1694,106,Ocoyucan,21
1695,107,Olintla,21
1696,108,Oriental,21
1697,109,Pahuatlán,21
1698,110,Palmar de Bravo,21
1699,111,Pantepec,21
1700,112,Petlalcingo,21
1701,113,Piaxtla,21
1702,114,Puebla,21
1703,115,Quecholac,21
1704,116,Quimixtlán,21
1705,117,Rafael Lara Grajales,21
1706,118,Los Reyes de Juárez,21
1707,119,San Andrés Cholula,21
1708,120,San Antonio Cañada,21
1709,121,San Diego la Mesa Tochimiltzingo,21
1710,122,San Felipe Teotlalcingo,21
1711,123,San Felipe Tepatlán,21
1712,124,San Gabriel Chilac,21
1713,125,San Gregorio Atzompa,21
1714,126,San Jerónimo Tecuanipan,21
1715,127,San Jerónimo Xayacatlán,21
1716,128,San José Chiapa,21
1717,129,San José Miahuatlán,21
1718,130,San Juan Atenco,21
1719,131,San Juan Atzompa,21
1720,132,San Martín Texmelucan,21
1721,133,San Martín Totoltepec,21
1722,134,San Matías Tlalancaleca,21
1723,135,San Miguel Ixitlán,21
1724,136,San Miguel Xoxtla,21
1725,137,San Nicolás Buenos Aires,21
1726,138,San Nicolás de los Ranchos,21
1727,139,San Pablo Anicano,21
1728,140,San Pedro Cholula,21
1729,141,San Pedro Yeloixtlahuaca,21
1730,142,San Salvador el Seco,21
1731,143,San Salvador el Verde,21
1732,144,San Salvador Huixcolotla,21
1733,145,San Sebastián Tlacotepec,21
1734,146,Santa Catarina Tlaltempan,21
1735,147,Santa Inés Ahuatempan,21
1736,148,Santa Isabel Cholula,21
1737,149,Santiago Miahuatlán,21
1738,150,Huehuetlán el Grande,21
1739,151,Santo Tomás Hueyotlipan,21
1740,152,Soltepec,21
1741,153,Tecali de Herrera,21
1742,154,Tecamachalco,21
1743,155,Tecomatlán,21
1744,156,Tehuacán,21
1745,157,Tehuitzingo,21
1746,158,Tenampulco,21
1747,159,Teopantlán,21
1748,160,Teotlalco,21
1749,161,Tepanco de López,21
1750,162,Tepango de Rodríguez,21
1751,163,Tepatlaxco de Hidalgo,21
1752,164,Tepeaca,21
1753,165,Tepemaxalco,21
1754,166,Tepeojuma,21
1755,167,Tepetzintla,21
1756,168,Tepexco,21
1757,169,Tepexi de Rodríguez,21
1758,170,Tepeyahualco,21
1759,171,Tepeyahualco de Cuauhtémoc,21
1760,172,Tetela de Ocampo,21
1761,173,Teteles de Avila Castillo,21
1762,174,Teziutlán,21
1763,175,Tianguismanalco,21
1764,176,Tilapa,21
1765,177,Tlacotepec de Benito Juárez,21
1766,178,Tlacuilotepec,21
1767,179,Tlachichuca,21
1768,180,Tlahuapan,21
1769,181,Tlaltenango,21
1770,182,Tlanepantla,21
1771,183,Tlaola,21
1772,184,Tlapacoya,21
1773,185,Tlapanalá,21
1774,186,Tlatlauquitepec,21
1775,187,Tlaxco,21
1776,188,Tochimilco,21
1777,189,Tochtepec,21
1778,190,Totoltepec de Guerrero,21
1779,191,Tulcingo,21
1780,192,Tuzamapan de Galeana,21
1781,193,Tzicatlacoyan,21
1782,194,Venustiano Carranza,21
1783,195,Vicente Guerrero,21
1784,196,Xayacatlán de Bravo,21
1785,197,Xicotepec,21
1786,198,Xicotlán,21
1787,199,Xiutetelco,21
1788,200,Xochiapulco,21
1789,201,Xochiltepec,21
1790,202,Xochitlán de Vicente Suárez,21
1791,203,Xochitlán Todos Santos,21
1792,204,Yaonáhuac,21
1793,205,Yehualtepec,21
1794,206,Zacapala,21
1795,207,Zacapoaxtla,21
1796,208,Zacatlán,21
1797,209,Zapotitlán,21
1798,210,Zapotitlán de Méndez,21
1799,211,Zaragoza,21
1800,212,Zautla,21
1801,213,Zihuateutla,21
1802,214,Zinacatepec,21
1803,215,Zongozotla,21
1804,216,Zoquiapan,21
1805,217,Zoquitlán,21
1806,999,No Especificado,21
1807,001,Amealco de Bonfil,22
1808,002,Pinal de Amoles,22
1809,003,Arroyo Seco,22
1810,004,Cadereyta de Montes,22
1811,005,Colón,22
1812,006,Corregidora,22
1813,007,Ezequiel Montes,22
1814,008,Huimilpan,22
1815,009,Jalpan de Serra,22
1816,010,Landa de Matamoros,22
1817,011,El Marqués,22
1818,012,Pedro Escobedo,22
1819,013,Peñamiller,22
1820,014,Querétaro,22
1821,015,San Joaquín,22
1822,016,San Juan del Río,22
1823,017,Tequisquiapan,22
1824,018,Tolimán,22
1825,999,No Especificado,22
1826,001,Cozumel,23
1827,002,Felipe Carrillo Puerto,23
1828,003,Isla Mujeres,23
1829,004,Othón P. Blanco,23
1830,005,Benito Juárez,23
1831,006,José María Morelos,23
1832,007,Lázaro Cárdenas,23
1833,008,Solidaridad,23
1834,009,Tulum,23
1835,010,Bacalar,23
1836,011,Puerto Morelos,23
1837,999,No Especificado,23
1838,001,Ahualulco,24
1839,002,Alaquines,24
1840,003,Aquismón,24
1841,004,Armadillo de los Infante,24
1842,005,Cárdenas,24
1843,006,Catorce,24
1844,007,Cedral,24
1845,008,Cerritos,24
1846,009,Cerro de San Pedro,24
1847,010,Ciudad del Maíz,24
1848,011,Ciudad Fernández,24
1849,012,Tancanhuitz,24
1850,013,Ciudad Valles,24
1851,014,Coxcatlán,24
1852,015,Charcas,24
1853,016,Ebano,24
1854,017,Guadalcázar,24
1855,018,Huehuetlán,24
1856,019,Lagunillas,24
1857,020,Matehuala,24
1858,021,Mexquitic de Carmona,24
1859,022,Moctezuma,24
1860,023,Rayón,24
1861,024,Rioverde,24
1862,025,Salinas,24
1863,026,San Antonio,24
1864,027,San Ciro de Acosta,24
1865,028,San Luis Potosí,24
1866,029,San Martín Chalchicuautla,24
1867,030,San Nicolás Tolentino,24
1868,031,Santa Catarina,24
1869,032,Santa María del Río,24
1870,033,Santo Domingo,24
1871,034,San Vicente Tancuayalab,24
1872,035,Soledad de Graciano Sánchez,24
1873,036,Tamasopo,24
1874,037,Tamazunchale,24
1875,038,Tampacán,24
1876,039,Tampamolón Corona,24
1877,040,Tamuín,24
1878,041,Tanlajás,24
1879,042,Tanquián de Escobedo,24
1880,043,Tierra Nueva,24
1881,044,Vanegas,24
1882,045,Venado,24
1883,046,Villa de Arriaga,24
1884,047,Villa de Guadalupe,24
1885,048,Villa de la Paz,24
1886,049,Villa de Ramos,24
1887,050,Villa de Reyes,24
1888,051,Villa Hidalgo,24
1889,052,Villa Juárez,24
1890,053,Axtla de Terrazas,24
1891,054,Xilitla,24
1892,055,Zaragoza,24
1893,056,Villa de Arista,24
1894,057,Matlapa,24
1895,058,El Naranjo,24
1896,999,No Especificado,24
1897,001,Ahome,25
1898,002,Angostura,25
1899,003,Badiraguato,25
1900,004,Concordia,25
1901,005,Cosalá,25
1902,006,Culiacán,25
1903,007,Choix,25
1904,008,Elota,25
1905,009,Escuinapa,25
1906,010,El Fuerte,25
1907,011,Guasave,25
1908,012,Mazatlán,25
1909,013,Mocorito,25
1910,014,Rosario,25
1911,015,Salvador Alvarado,25
1912,016,San Ignacio,25
1913,017,Sinaloa,25
1914,018,Navolato,25
1915,999,No Especificado,25
1916,001,Aconchi,26
1917,002,Agua Prieta,26
1918,003,Alamos,26
1919,004,Altar,26
1920,005,Arivechi,26
1921,006,Arizpe,26
1922,007,Atil,26
1923,008,Bacadéhuachi,26
1924,009,Bacanora,26
1925,010,Bacerac,26
1926,011,Bacoachi,26
1927,012,Bácum,26
1928,013,Banámichi,26
1929,014,Baviácora,26
1930,015,Bavispe,26
1931,016,Benjamín Hill,26
1932,017,Caborca,26
1933,018,Cajeme,26
1934,019,Cananea,26
1935,020,Carbó,26
1936,021,La Colorada,26
1937,022,Cucurpe,26
1938,023,Cumpas,26
1939,024,Divisaderos,26
1940,025,Empalme,26
1941,026,Etchojoa,26
1942,027,Fronteras,26
1943,028,Granados,26
1944,029,Guaymas,26
1945,030,Hermosillo,26
1946,031,Huachinera,26
1947,032,Huásabas,26
1948,033,Huatabampo,26
1949,034,Huépac,26
1950,035,Imuris,26
1951,036,Magdalena,26
1952,037,Mazatán,26
1953,038,Moctezuma,26
1954,039,Naco,26
1955,040,Nácori Chico,26
1956,041,Nacozari de García,26
1957,042,Navojoa,26
1958,043,Nogales,26
1959,044,Onavas,26
1960,045,Opodepe,26
1961,046,Oquitoa,26
1962,047,Pitiquito,26
1963,048,Puerto Peñasco,26
1964,049,Quiriego,26
1965,050,Rayón,26
1966,051,Rosario,26
1967,052,Sahuaripa,26
1968,053,San Felipe de Jesús,26
1969,054,San Javier,26
1970,055,San Luis Río Colorado,26
1971,056,San Miguel de Horcasitas,26
1972,057,San Pedro de la Cueva,26
1973,058,Santa Ana,26
1974,059,Santa Cruz,26
1975,060,Sáric,26
1976,061,Soyopa,26
1977,062,Suaqui Grande,26
1978,063,Tepache,26
1979,064,Trincheras,26
1980,065,Tubutama,26
1981,066,Ures,26
1982,067,Villa Hidalgo,26
1983,068,Villa Pesqueira,26
1984,069,Yécora,26
1985,070,General Plutarco Elías Calles,26
1986,071,Benito Juárez,26
1987,072,San Ignacio Río Muerto,26
1988,999,No Especificado,26
1989,001,Balancán,27
1990,002,Cárdenas,27
1991,003,Centla,27
1992,004,Centro,27
1993,005,Comalcalco,27
1994,006,Cunduacán,27
1995,007,Emiliano Zapata,27
1996,008,Huimanguillo,27
1997,009,Jalapa,27
1998,010,Jalpa de Méndez,27
1999,011,Jonuta,27
2000,012,Macuspana,27
2001,013,Nacajuca,27
2002,014,Paraíso,27
2003,015,Tacotalpa,27
2004,016,Teapa,27
2005,017,Tenosique,27
2006,999,No Especificado,27
2007,001,Abasolo,28
2008,002,Aldama,28
2009,003,Altamira,28
2010,004,Antiguo Morelos,28
2011,005,Burgos,28
2012,006,Bustamante,28
2013,007,Camargo,28
2014,008,Casas,28
2015,009,Ciudad Madero,28
2016,010,Cruillas,28
2017,011,Gómez Farías,28
2018,012,González,28
2019,013,Güémez,28
2020,014,Guerrero,28
2021,015,Gustavo Díaz Ordaz,28
2022,016,Hidalgo,28
2023,017,Jaumave,28
2024,018,Jiménez,28
2025,019,Llera,28
2026,020,Mainero,28
2027,021,El Mante,28
2028,022,Matamoros,28
2029,023,Méndez,28
2030,024,Mier,28
2031,025,Miguel Alemán,28
2032,026,Miquihuana,28
2033,027,Nuevo Laredo,28
2034,028,Nuevo Morelos,28
2035,029,Ocampo,28
2036,030,Padilla,28
2037,031,Palmillas,28
2038,032,Reynosa,28
2039,033,Río Bravo,28
2040,034,San Carlos,28
2041,035,San Fernando,28
2042,036,San Nicolás,28
2043,037,Soto la Marina,28
2044,038,Tampico,28
2045,039,Tula,28
2046,040,Valle Hermoso,28
2047,041,Victoria,28
2048,042,Villagrán,28
2049,043,Xicoténcatl,28
2050,999,No Especificado,28
2051,001,Amaxac de Guerrero,29
2052,002,Apetatitlán de Antonio Carvajal,29
2053,003,Atlangatepec,29
2054,004,Atltzayanca,29
2055,005,Apizaco,29
2056,006,Calpulalpan,29
2057,007,El Carmen Tequexquitla,29
2058,008,Cuapiaxtla,29
2059,009,Cuaxomulco,29
2060,010,Chiautempan,29
2061,011,Muñoz de Domingo Arenas,29
2062,012,Españita,29
2063,013,Huamantla,29
2064,014,Hueyotlipan,29
2065,015,Ixtacuixtla de Mariano Matamoros,29
2066,016,Ixtenco,29
2067,017,Mazatecochco de José María Morelos,29
2068,018,Contla de Juan Cuamatzi,29
2069,019,Tepetitla de Lardizábal,29
2070,020,Sanctórum de Lázaro Cárdenas,29
2071,021,Nanacamilpa de Mariano Arista,29
2072,022,Acuamanala de Miguel Hidalgo,29
2073,023,Natívitas,29
2074,024,Panotla,29
2075,025,San Pablo del Monte,29
2076,026,Santa Cruz Tlaxcala,29
2077,027,Tenancingo,29
2078,028,Teolocholco,29
2079,029,Tepeyanco,29
2080,030,Terrenate,29
2081,031,Tetla de la Solidaridad,29
2082,032,Tetlatlahuca,29
2083,033,Tlaxcala,29
2084,034,Tlaxco,29
2085,035,Tocatlán,29
2086,036,Totolac,29
2087,037,Ziltlaltépec de Trinidad Sánchez Santos,29
2088,038,Tzompantepec,29
2089,039,Xaloztoc,29
2090,040,Xaltocan,29
2091,041,Papalotla de Xicohténcatl,29
2092,042,Xicohtzinco,29
2093,043,Yauhquemehcan,29
2094,044,Zacatelco,29
2095,045,Benito Juárez,29
2096,046,Emiliano Zapata,29
2097,047,Lázaro Cárdenas,29
2098,048,La Magdalena Tlaltelulco,29
2099,049,San Damián Texóloc,29
2100,050,San Francisco Tetlanohcan,29
2101,051,San Jerónimo Zacualpan,29
2102,052,San José Teacalco,29
2103,053,San Juan Huactzinco,29
2104,054,San Lorenzo Axocomanitla,29
2105,055,San Lucas Tecopilco,29
2106,056,Santa Ana Nopalucan,29
2107,057,Santa Apolonia Teacalco,29
2108,058,Santa Catarina Ayometla,29
2109,059,Santa Cruz Quilehtla,29
2110,060,Santa Isabel Xiloxoxtla,29
2111,999,No Especificado,29
2112,001,Acajete,30
2113,002,Acatlán,30
2114,003,Acayucan,30
2115,004,Actopan,30
2116,005,Acula,30
2117,006,Acultzingo,30
2118,007,Camarón de Tejeda,30
2119,008,Alpatláhuac,30
2120,009,Alto Lucero de Gutiérrez Barrios,30
2121,010,Altotonga,30
2122,011,Alvarado,30
2123,012,Amatitlán,30
2124,013,Naranjos Amatlán,30
2125,014,Amatlán de los Reyes,30
2126,015,Angel R. Cabada,30
2127,016,La Antigua,30
2128,017,Apazapan,30
2129,018,Aquila,30
2130,019,Astacinga,30
2131,020,Atlahuilco,30
2132,021,Atoyac,30
2133,022,Atzacan,30
2134,023,Atzalan,30
2135,024,Tlaltetela,30
2136,025,Ayahualulco,30
2137,026,Banderilla,30
2138,027,Benito Juárez,30
2139,028,Boca del Río,30
2140,029,Calcahualco,30
2141,030,Camerino Z. Mendoza,30
2142,031,Carrillo Puerto,30
2143,032,Catemaco,30
2144,033,Cazones de Herrera,30
2145,034,Cerro Azul,30
2146,035,Citlaltépetl,30
2147,036,Coacoatzintla,30
2148,037,Coahuitlán,30
2149,038,Coatepec,30
2150,039,Coatzacoalcos,30
2151,040,Coatzintla,30
2152,041,Coetzala,30
2153,042,Colipa,30
2154,043,Comapa,30
2155,044,Córdoba,30
2156,045,Cosamaloapan de Carpio,30
2157,046,Cosautlán de Carvajal,30
2158,047,Coscomatepec,30
2159,048,Cosoleacaque,30
2160,049,Cotaxtla,30
2161,050,Coxquihui,30
2162,051,Coyutla,30
2163,052,Cuichapa,30
2164,053,Cuitláhuac,30
2165,054,Chacaltianguis,30
2166,055,Chalma,30
2167,056,Chiconamel,30
2168,057,Chiconquiaco,30
2169,058,Chicontepec,30
2170,059,Chinameca,30
2171,060,Chinampa de Gorostiza,30
2172,061,Las Choapas,30
2173,062,Chocamán,30
2174,063,Chontla,30
2175,064,Chumatlán,30
2176,065,Emiliano Zapata,30
2177,066,Espinal,30
2178,067,Filomeno Mata,30
2179,068,Fortín,30
2180,069,Gutiérrez Zamora,30
2181,070,Hidalgotitlán,30
2182,071,Huatusco,30
2183,072,Huayacocotla,30
2184,073,Hueyapan de Ocampo,30
2185,074,Huiloapan de Cuauhtémoc,30
2186,075,Ignacio de la Llave,30
2187,076,Ilamatlán,30
2188,077,Isla,30
2189,078,Ixcatepec,30
2190,079,Ixhuacán de los Reyes,30
2191,080,Ixhuatlán del Café,30
2192,081,Ixhuatlancillo,30
2193,082,Ixhuatlán del Sureste,30
2194,083,Ixhuatlán de Madero,30
2195,084,Ixmatlahuacan,30
2196,085,Ixtaczoquitlán,30
2197,086,Jalacingo,30
2198,087,Xalapa,30
2199,088,Jalcomulco,30
2200,089,Jáltipan,30
2201,090,Jamapa,30
2202,091,Jesús Carranza,30
2203,092,Xico,30
2204,093,Jilotepec,30
2205,094,Juan Rodríguez Clara,30
2206,095,Juchique de Ferrer,30
2207,096,Landero y Coss,30
2208,097,Lerdo de Tejada,30
2209,098,Magdalena,30
2210,099,Maltrata,30
2211,100,Manlio Fabio Altamirano,30
2212,101,Mariano Escobedo,30
2213,102,Martínez de la Torre,30
2214,103,Mecatlán,30
2215,104,Mecayapan,30
2216,105,Medellín de Bravo,30
2217,106,Miahuatlán,30
2218,107,Las Minas,30
2219,108,Minatitlán,30
2220,109,Misantla,30
2221,110,Mixtla de Altamirano,30
2222,111,Moloacán,30
2223,112,Naolinco,30
2224,113,Naranjal,30
2225,114,Nautla,30
2226,115,Nogales,30
2227,116,Oluta,30
2228,117,Omealca,30
2229,118,Orizaba,30
2230,119,Otatitlán,30
2231,120,Oteapan,30
2232,121,Ozuluama de Mascareñas,30
2233,122,Pajapan,30
2234,123,Pánuco,30
2235,124,Papantla,30
2236,125,Paso del Macho,30
2237,126,Paso de Ovejas,30
2238,127,La Perla,30
2239,128,Perote,30
2240,129,Platón Sánchez,30
2241,130,Playa Vicente,30
2242,131,Poza Rica de Hidalgo,30
2243,132,Las Vigas de Ramírez,30
2244,133,Pueblo Viejo,30
2245,134,Puente Nacional,30
2246,135,Rafael Delgado,30
2247,136,Rafael Lucio,30
2248,137,Los Reyes,30
2249,138,Río Blanco,30
2250,139,Saltabarranca,30
2251,140,San Andrés Tenejapan,30
2252,141,San Andrés Tuxtla,30
2253,142,San Juan Evangelista,30
2254,143,Santiago Tuxtla,30
2255,144,Sayula de Alemán,30
2256,145,Soconusco,30
2257,146,Sochiapa,30
2258,147,Soledad Atzompa,30
2259,148,Soledad de Doblado,30
2260,149,Soteapan,30
2261,150,Tamalín,30
2262,151,Tamiahua,30
2263,152,Tampico Alto,30
2264,153,Tancoco,30
2265,154,Tantima,30
2266,155,Tantoyuca,30
2267,156,Tatatila,30
2268,157,Castillo de Teayo,30
2269,158,Tecolutla,30
2270,159,Tehuipango,30
2271,160,Álamo Temapache,30
2272,161,Tempoal,30
2273,162,Tenampa,30
2274,163,Tenochtitlán,30
2275,164,Teocelo,30
2276,165,Tepatlaxco,30
2277,166,Tepetlán,30
2278,167,Tepetzintla,30
2279,168,Tequila,30
2280,169,José Azueta,30
2281,170,Texcatepec,30
2282,171,Texhuacán,30
2283,172,Texistepec,30
2284,173,Tezonapa,30
2285,174,Tierra Blanca,30
2286,175,Tihuatlán,30
2287,176,Tlacojalpan,30
2288,177,Tlacolulan,30
2289,178,Tlacotalpan,30
2290,179,Tlacotepec de Mejía,30
2291,180,Tlachichilco,30
2292,181,Tlalixcoyan,30
2293,182,Tlalnelhuayocan,30
2294,183,Tlapacoyan,30
2295,184,Tlaquilpa,30
2296,185,Tlilapan,30
2297,186,Tomatlán,30
2298,187,Tonayán,30
2299,188,Totutla,30
2300,189,Tuxpan,30
2301,190,Tuxtilla,30
2302,191,Ursulo Galván,30
2303,192,Vega de Alatorre,30
2304,193,Veracruz,30
2305,194,Villa Aldama,30
2306,195,Xoxocotla,30
2307,196,Yanga,30
2308,197,Yecuatla,30
2309,198,Zacualpan,30
2310,199,Zaragoza,30
2311,200,Zentla,30
2312,201,Zongolica,30
2313,202,Zontecomatlán de López y Fuentes,30
2314,203,Zozocolco de Hidalgo,30
2315,204,Agua Dulce,30
2316,205,El Higo,30
2317,206,Nanchital de Lázaro Cárdenas del Río,30
2318,207,Tres Valles,30
2319,208,Carlos A. Carrillo,30
2320,209,Tatahuicapan de Juárez,30
2321,210,Uxpanapa,30
2322,211,San Rafael,30
2323,212,Santiago Sochiapan,30
2324,999,No Especificado,30
2325,001,Abalá,31
2326,002,Acanceh,31
2327,003,Akil,31
2328,004,Baca,31
2329,005,Bokobá,31
2330,006,Buctzotz,31
2331,007,Cacalchén,31
2332,008,Calotmul,31
2333,009,Cansahcab,31
2334,010,Cantamayec,31
2335,011,Celestún,31
2336,012,Cenotillo,31
2337,013,Conkal,31
2338,014,Cuncunul,31
2339,015,Cuzamá,31
2340,016,Chacsinkín,31
2341,017,Chankom,31
2342,018,Chapab,31
2343,019,Chemax,31
2344,020,Chicxulub Pueblo,31
2345,021,Chichimilá,31
2346,022,Chikindzonot,31
2347,023,Chocholá,31
2348,024,Chumayel,31
2349,025,Dzán,31
2350,026,Dzemul,31
2351,027,Dzidzantún,31
2352,028,Dzilam de Bravo,31
2353,029,Dzilam González,31
2354,030,Dzitás,31
2355,031,Dzoncauich,31
2356,032,Espita,31
2357,033,Halachó,31
2358,034,Hocabá,31
2359,035,Hoctún,31
2360,036,Homún,31
2361,037,Huhí,31
2362,038,Hunucmá,31
2363,039,Ixil,31
2364,040,Izamal,31
2365,041,Kanasín,31
2366,042,Kantunil,31
2367,043,Kaua,31
2368,044,Kinchil,31
2369,045,Kopomá,31
2370,046,Mama,31
2371,047,Maní,31
2372,048,Maxcanú,31
2373,049,Mayapán,31
2374,050,Mérida,31
2375,051,Mocochá,31
2376,052,Motul,31
2377,053,Muna,31
2378,054,Muxupip,31
2379,055,Opichén,31
2380,056,Oxkutzcab,31
2381,057,Panabá,31
2382,058,Peto,31
2383,059,Progreso,31
2384,060,Quintana Roo,31
2385,061,Río Lagartos,31
2386,062,Sacalum,31
2387,063,Samahil,31
2388,064,Sanahcat,31
2389,065,San Felipe,31
2390,066,Santa Elena,31
2391,067,Seyé,31
2392,068,Sinanché,31
2393,069,Sotuta,31
2394,070,Sucilá,31
2395,071,Sudzal,31
2396,072,Suma,31
2397,073,Tahdziú,31
2398,074,Tahmek,31
2399,075,Teabo,31
2400,076,Tecoh,31
2401,077,Tekal de Venegas,31
2402,078,Tekantó,31
2403,079,Tekax,31
2404,080,Tekit,31
2405,081,Tekom,31
2406,082,Telchac Pueblo,31
2407,083,Telchac Puerto,31
2408,084,Temax,31
2409,085,Temozón,31
2410,086,Tepakán,31
2411,087,Tetiz,31
2412,088,Teya,31
2413,089,Ticul,31
2414,090,Timucuy,31
2415,091,Tinum,31
2416,092,Tixcacalcupul,31
2417,093,Tixkokob,31
2418,094,Tixmehuac,31
2419,095,Tixpéhual,31
2420,096,Tizimín,31
2421,097,Tunkás,31
2422,098,Tzucacab,31
2423,099,Uayma,31
2424,100,Ucú,31
2425,101,Umán,31
2426,102,Valladolid,31
2427,103,Xocchel,31
2428,104,Yaxcabá,31
2429,105,Yaxkukul,31
2430,106,Yobaín,31
2431,999,No Especificado,31
2432,001,Apozol,32
2433,002,Apulco,32
2434,003,Atolinga,32
2435,004,Benito Juárez,32
2436,005,Calera,32
2437,006,Cañitas de Felipe Pescador,32
2438,007,Concepción del Oro,32
2439,008,Cuauhtémoc,32
2440,009,Chalchihuites,32
2441,010,Fresnillo,32
2442,011,Trinidad García de la Cadena,32
2443,012,Genaro Codina,32
2444,013,General Enrique Estrada,32
2445,014,General Francisco R. Murguía,32
2446,015,El Plateado de Joaquín Amaro,32
2447,016,General Pánfilo Natera,32
2448,017,Guadalupe,32
2449,018,Huanusco,32
2450,019,Jalpa,32
2451,020,Jerez,32
2452,021,Jiménez del Teul,32
2453,022,Juan Aldama,32
2454,023,Juchipila,32
2455,024,Loreto,32
2456,025,Luis Moya,32
2457,026,Mazapil,32
2458,027,Melchor Ocampo,32
2459,028,Mezquital del Oro,32
2460,029,Miguel Auza,32
2461,030,Momax,32
2462,031,Monte Escobedo,32
2463,032,Morelos,32
2464,033,Moyahua de Estrada,32
2465,034,Nochistlán de Mejía,32
2466,035,Noria de Ángeles,32
2467,036,Ojocaliente,32
2468,037,Pánuco,32
2469,038,Pinos,32
2470,039,Río Grande,32
2471,040,Sain Alto,32
2472,041,El Salvador,32
2473,042,Sombrerete,32
2474,043,Susticacán,32
2475,044,Tabasco,32
2476,045,Tepechitlán,32
2477,046,Tepetongo,32
2478,047,Teúl de González Ortega,32
2479,048,Tlaltenango de Sánchez Román,32
2480,049,Valparaíso,32
2481,050,Vetagrande,32
2482,051,Villa de Cos,32
2483,052,Villa García,32
2484,053,Villa González Ortega,32
2485,054,Villa Hidalgo,32
2486,055,Villanueva,32
2487,056,Zacatecas,32
2488,057,Trancoso,32
2489,058,Santa María de la Paz,32